market,mapping,period,slippage_ticks_per_side,n,gross_mean_r,cost_drag_r,net_mean_r,delta_vs_2011_2017_r
NQ,large_contract,2011-2017,0,1693,-0.03048918393329687,0.013698542490648884,-0.04418772642394575,
NQ,large_contract,2018-2019,0,488,0.016875347842295812,0.0058077623454491295,0.011067585496846683,0.05525531192079243
NQ,large_contract,2020-2021,0,492,0.055731582957328524,0.0027693482737402146,0.05296223468358831,0.09714996110753406
NQ,large_contract,2022-2023,0,490,0.07326441640894754,0.0021723243940454575,0.07109209201490209,0.11527981843884784
NQ,large_contract,2011-2017,1,1693,-0.03048918393329687,0.04794489871727109,-0.07843408265056796,
NQ,large_contract,2018-2019,1,488,0.016875347842295812,0.020327168209071954,-0.003451820366776142,0.07498226228379182
NQ,large_contract,2020-2021,1,492,0.055731582957328524,0.009692718958090752,0.046038863999237775,0.12447294664980574
NQ,large_contract,2022-2023,1,490,0.07326441640894754,0.007603135379159101,0.06566128102978844,0.14409536368035641
NQ,large_contract,2011-2017,2,1693,-0.03048918393329687,0.0821912549438933,-0.11268043887719018,
NQ,large_contract,2018-2019,2,488,0.016875347842295812,0.03484657407269478,-0.017971226230398967,0.0947092126467912
NQ,large_contract,2020-2021,2,492,0.055731582957328524,0.016616089642441288,0.039115493314887236,0.1517959321920774
NQ,large_contract,2022-2023,2,490,0.07326441640894754,0.013033946364272745,0.0602304700446748,0.17291090892186498
NQ,large_contract,2011-2017,4,1693,-0.03048918393329687,0.1506839673971377,-0.18117315133043457,
NQ,large_contract,2018-2019,4,488,0.016875347842295812,0.06388538579994042,-0.04701003795764461,0.13416311337278997
NQ,large_contract,2020-2021,4,492,0.055731582957328524,0.030462831011142364,0.02526875194618616,0.20644190327662074
NQ,large_contract,2022-2023,4,490,0.07326441640894754,0.023895568334500034,0.04936884807444751,0.23054199940488207
NQ,micro_scale_counterfactual,2011-2017,0,1693,-0.03048918393329687,0.13698542490648882,-0.16747460883978568,
NQ,micro_scale_counterfactual,2018-2019,0,488,0.016875347842295812,0.058077623454491294,-0.041202275612195485,0.12627233322759018
NQ,micro_scale_counterfactual,2020-2021,0,492,0.055731582957328524,0.027693482737402148,0.028038100219926376,0.19551270905971205
NQ,micro_scale_counterfactual,2022-2023,0,490,0.07326441640894754,0.02172324394045457,0.05154117246849297,0.21901578130827865
NQ,micro_scale_counterfactual,2011-2017,1,1693,-0.03048918393329687,0.17123178113311105,-0.2017209650664079,
NQ,micro_scale_counterfactual,2018-2019,1,488,0.016875347842295812,0.07259702931811413,-0.05572168147581831,0.1459992835905896
NQ,micro_scale_counterfactual,2020-2021,1,492,0.055731582957328524,0.03461685342175269,0.021114729535575832,0.22283569460198374
