market,n_baseline,n_late,estimate_r,range_low,range_high,two_sided_block_permutation_p
NQ,1693,490,0.11527981843884783,0.026248896846327103,0.20546015197182216,0.022598870056497175
ES,1703,495,0.11014637047030104,0.0066312676127301086,0.21347612470488686,0.03239838008099595
