market,mapping,period,n_pre,n_post,gross_r_pre,gross_r_post,cost_drag_r_pre,cost_drag_r_post,net_r_pre,net_r_post,delta_net_r,frequency_r,time_exit_magnitude_r,friction_r,friction_share,reconstructed_delta_r,identity_error
NQ,large_contract,2018-2019,1693,488,-0.03048918393329687,0.016875347842295812,0.013698542490648884,0.0058077623454491295,-0.04418772642394575,0.011067585496846683,0.05525531192079243,0.03992652848181989,0.007438003293772826,0.007890780145199755,0.14280582030757616,0.05525531192079247,4.163336342344337e-17
NQ,large_contract,2020-2021,1693,492,-0.03048918393329687,0.055731582957328524,0.013698542490648884,0.0027693482737402146,-0.04418772642394575,0.05296223468358831,0.09714996110753406,0.05376681861278848,0.0324539482778369,0.01092919421690867,0.11249818417128632,0.09714996110753406,0.0
NQ,large_contract,2022-2023,1693,490,-0.03048918393329687,0.07326441640894754,0.013698542490648884,0.0021723243940454575,-0.04418772642394575,0.07109209201490209,0.11527981843884784,0.06764297277277921,0.03611062756946522,0.011526218096603426,0.09998470029442062,0.11527981843884785,1.3877787807814457e-17
NQ,large_contract,2022-2026,1693,490,-0.03048918393329687,0.07326441640894754,0.013698542490648884,0.0021723243940454575,-0.04418772642394575,0.07109209201490209,0.11527981843884784,0.06764297277277921,0.03611062756946522,0.011526218096603426,0.09998470029442062,0.11527981843884785,1.3877787807814457e-17
NQ,micro_scale_counterfactual,2018-2019,1693,488,-0.03048918393329687,0.016875347842295812,0.13698542490648882,0.058077623454491294,-0.16747460883978568,-0.041202275612195485,0.12627233322759018,0.03992652848181989,0.007438003293772826,0.07890780145199752,0.6249017455769668,0.12627233322759024,5.551115123125783e-17
NQ,micro_scale_counterfactual,2020-2021,1693,492,-0.03048918393329687,0.055731582957328524,0.13698542490648882,0.027693482737402148,-0.16747460883978568,0.028038100219926376,0.19551270905971205,0.05376681861278848,0.0324539482778369,0.10929194216908668,0.5590017277889978,0.19551270905971208,2.7755575615628914e-17
NQ,micro_scale_counterfactual,2022-2023,1693,490,-0.03048918393329687,0.07326441640894754,0.13698542490648882,0.02172324394045457,-0.16747460883978568,0.05154117246849297,0.21901578130827865,0.06764297277277921,0.03611062756946522,0.11526218096603424,0.5262734049460819,0.21901578130827867,2.7755575615628914e-17
NQ,micro_scale_counterfactual,2022-2026,1693,490,-0.03048918393329687,0.07326441640894754,0.13698542490648882,0.02172324394045457,-0.16747460883978568,0.05154117246849297,0.21901578130827865,0.06764297277277921,0.03611062756946522,0.11526218096603424,0.5262734049460819,0.21901578130827867,2.7755575615628914e-17
ES,large_contract,2018-2019,1703,492,-0.050998372180172946,0.048473369120745145,0.014737583255166808,0.009607148831218052,-0.06573595543533975,0.03886622028952709,0.10460217572486684,0.09547070262101334,0.004001038679904763,0.005130434423948756,0.04904711004714895,0.10460217572486685,1.3877787807814457e-17
ES,large_contract,2020-2021,1703,496,-0.050998372180172946,0.05030188981552789,0.014737583255166808,0.0059503554026944985,-0.06573595543533975,0.04435153441283339,0.11008748984817314,0.1005970242655316,0.0007032377301692612,0.00878722785247231,0.07982040343177223,0.11008748984817318,4.163336342344337e-17
ES,large_contract,2022-2023,1703,495,-0.050998372180172946,0.04900008034691973,0.014737583255166808,0.004589665311958457,-0.06573595543533975,0.04441041503496127,0.11014637047030101,0.051986946497940174,0.04801150602915251,0.010147917943208351,0.09213120595693668,0.11014637047030104,2.7755575615628914e-17
ES,large_contract,2022-2026,1703,495,-0.050998372180172946,0.04900008034691973,0.014737583255166808,0.004589665311958457,-0.06573595543533975,0.04441041503496127,0.11014637047030101,0.051986946497940174,0.04801150602915251,0.010147917943208351,0.09213120595693668,0.11014637047030104,2.7755575615628914e-17
ES,micro_scale_counterfactual,2018-2019,1703,492,-0.050998372180172946,0.048473369120745145,0.14737583255166808,0.09607148831218051,-0.19837420473184103,-0.04759811919143537,0.15077608554040567,0.09547070262101334,0.004001038679904763,0.05130434423948757,0.3402684454607279,0.15077608554040567,0.0
ES,micro_scale_counterfactual,2020-2021,1703,496,-0.050998372180172946,0.05030188981552789,0.14737583255166808,0.05950355402694499,-0.19837420473184103,-0.009201664211417097,0.18917254052042393,0.1005970242655316,0.0007032377301692612,0.0878722785247231,0.46450863472564086,0.18917254052042398,5.551115123125783e-17
ES,micro_scale_counterfactual,2022-2023,1703,495,-0.050998372180172946,0.04900008034691973,0.14737583255166808,0.04589665311958457,-0.19837420473184103,0.0031034272273351635,0.2014776319591762,0.051986946497940174,0.04801150602915251,0.10147917943208351,0.5036746682264234,0.2014776319591762,0.0
ES,micro_scale_counterfactual,2022-2026,1703,495,-0.050998372180172946,0.04900008034691973,0.14737583255166808,0.04589665311958457,-0.19837420473184103,0.0031034272273351635,0.2014776319591762,0.051986946497940174,0.04801150602915251,0.10147917943208351,0.5036746682264234,0.2014776319591762,0.0
